Tweet_ID,Username,Date,Text,Likes,Retweets,Sentiment
616035,user1130,12/19/2024 12:23,Wow! Blown away by how great this is.,363,134,Positive
113636,user9247,12/19/2024 21:55,"Just bought it, will update my thoughts later.",356,274,Positive
239979,user8908,12/15/2024 5:18,"Meh. It's okay, nothing special.",434,236,Negative
566335,user5452,12/17/2024 2:25,Why is no one talking about this? It's amazing.,341,165,Positive
806621,user6270,12/14/2024 15:55,"Not a fan of this, had a bad experience.",432,217,Negative
777867,user2551,12/19/2024 14:29,"Not a fan of this, had a bad experience.",159,6,Negative
471086,user3292,12/15/2024 18:40,"Just bought it, will update my thoughts later.",156,33,Positive
255405,user6888,12/16/2024 21:22,"Just bought it, will update my thoughts later.",74,217,Neutral
236607,user7356,12/19/2024 13:25,Why is no one talking about this? It's amazing.,16,62,Neutral
941826,user7331,12/19/2024 3:24,This event was fantastic!,426,164,Neutral
434125,user6294,12/21/2024 8:31,"Disappointed, expected so much more.",488,79,Neutral
332159,user2812,12/14/2024 21:45,Absolutely terrible. Would not suggest to anyone.,368,90,Negative
766412,user3349,12/18/2024 17:51,Wow! Blown away by how great this is.,247,124,Neutral
950870,user9962,12/20/2024 16:10,"Not a fan of this, had a bad experience.",467,283,Neutral
450531,user8948,12/20/2024 18:07,"Disappointed, expected so much more.",114,179,Neutral
929590,user4919,12/17/2024 18:45,This event was fantastic!,98,5,Neutral
657687,user9136,12/20/2024 4:54,"Disappointed, expected so much more.",202,286,Positive
579705,user8280,12/21/2024 2:44,"Just bought it, will update my thoughts later.",468,52,Negative
346088,user161,12/19/2024 21:08,"Could be better, but not too bad.",463,225,Neutral
259575,user6324,12/18/2024 20:22,I love this product! Highly recommend it.,5,114,Negative
941762,user5830,12/17/2024 17:57,Wow! Blown away by how great this is.,467,179,Neutral
358439,user202,12/16/2024 6:26,"Just bought it, will update my thoughts later.",227,91,Neutral
991082,user4354,12/17/2024 3:23,Wow! Blown away by how great this is.,146,66,Negative
599002,user556,12/15/2024 10:31,"Could be better, but not too bad.",151,262,Positive
830334,user1837,12/18/2024 5:37,Absolutely terrible. Would not suggest to anyone.,371,93,Neutral
